A Certain Magical Index
Adrian Tomine
Al Capp
Al Hirschfeld
Alan Davis
Alan Moore
Albert Uderzo
Alison Bechdel
Allie Brosh
Andy Kubert
Art Spiegelman
Arthur Adams
Asaf Hanuka
Bart Sears
Basil Wolverton
Becky Cloonan
Bernie Wrightson
Bill Willingham
Brian Bolland
Brian Michael Bendis
Bruce Timm
Bryan Hitch
Butcher Billy
Carl Barks
Charles Schulz
Children Who Chase Lost Voices
Chip Zdarsky
Chris Claremont
Chris Samnee
Chris Ware
Comic book style
Comic strip style
Cowboy Bebop
Dan Clowes
Darwyn Cooke
Dave Gibbons
Dave Stevens
David Finch
Dick Giordano
Dick Sprang
Don Martin
Ed Brubaker
Eddie Campbell
Farel Dalrymple
Francesco Francavilla
Frank Cho
Frank Miller
Frank Quitely
Garry Trudeau
Gary Panter
Gekiga anime style
Gemma Correll
Geof Darrow
Geoff Johns
George Perez
Gil Kane
Glen Orbik
Greg Capullo
Greg Land
Greg Rucka
Hal Foster
Harvey Kurtzman
Herb Trimpe
Herge
Howard Chaykin
J. Scott Campbell
Jack Kirby
Jacques Tardi
Jim Cheung
Jim Lee
Jim Steranko
Joan Cornella
Joe Jusko
Joe Kubert
Joe Madureira
Joe Quesada
Joel Pett
John Brack
John Buscema
John Cassaday
John Romita Jr
Jordi Bernet
Jujutsu Kaisen
Kate Beaton
Kevin Eastman
Kevin Nowlan
Kevin Wada
Kodomomuke anime style
Lupin the Third
Marc Silvestri
Marjane Satrapi
Mark Bagley
Mark Brooks
Matt Bors
Matt Wagner
Mawaru Penguindrum
Max Fleischer
Michael Cho
Mike Allred
Mike Deodato
Mike Mayhew
Mike Mignola
My Hero Academia
Norm Breyfogle
Osamu Tezuka
Paul Pelletier
Peter Bagge
Phil Hester
Phil Jimenez
Rafael Albuquerque
Raina Telgemeier
Randall Munroe
Rick Remender
Rob Liefeld
Robert Kirkman
Roy Lichtenstein
Roz Chast
Ryan Ottley
Ryan Stegman
Sarah Andersen
Scott McCloud
Shonen anime style
Stephan Pastis
Steve Ditko
Steve Epting
Steve Rude
Stuart Immonen
Terry Dodson
The Adventures of Tintin
Todd Nauck
Tom Gauld
Tom Grummett
Tom Tomorrow
Tony DeZuniga
Tony Moore
Vince Colletta
Wally Wood
Walt Kelly
Walter Simonson
Will Eisner
Xkcd
