Alasdair McLellan
Albert Renger-Patzsch
Albumen print
Alec Soth
Alex Howitt
Alfred Eisenstaedt
Alfred Stieglitz
Allan Sekula
Anders Petersen
Andre Kertesz
Andre de Dienes
Ara Guler
Bert Hardy
Bill Cunningham
Bill Eppridge
Boris Mikhailov
Brent Stirton
Bruce Davidson
Bruno Barbey
Carl Mydans
Carrie Mae Weems
Charles Marville
Clifford Coffin
Corey Arnold
Danny Lyon
Dave Heath
David Goldblatt
David Octavius Hill
David Plowden
Dawoud Bey
Dennis Stock
Don McCullin
Dorothea Lange
Dziga Vertov
Edouard Boubat
Edward Burtynsky
Erich Hartmann
Eugene Atget
Eugene Richards
Felice Beato
Footage from CCTV
Garry Winogrand
Gered Mankowitz
Gianni Berengo Gardin
Gordon Parks
Harry Benson
Helen Levitt
Henri Cartier-Bresson
Ilse Bing
Inge Morath
Jacob Riis
Jacques Henri Lartigue
James Barnor
James Nachtwey
James Van Der Zee
Janet Delaney
Jill Freedman
Jimmy Nelson
Joel Sternfeld
Josef Koudelka
Kevin Carter
Kurt Hutton
Larry Burrows
Larry Clark
LeRoy Grannis
Leonard Freed
Lewis Hine
Lisette Model
Loomis Dean
Louis Faurer
Lynsey Addario
Malick Sidibe
Marc Riboud
Margaret Bourke-White
Mark Steinmetz
Martine Franck
Masahisa Fukase
Michael Wolf
Mikhael Subotzky
Miroslav Tichy
Neil Leifer
Norman Cornish
Paolo Pellegrin
Paul Strand
Peter Henry Emerson
Philip Jones Griffiths
Pieter Hugo
Raghu Rai
Ragnar Axelsson
Ralph Eugene Meatyard
Richard Billingham
Richard Mosse
Robert Capa
Robert Doisneau
Robert Frank
Roger Fenton
Roger Mayne
Roman Vishniac
Ruslan Lobanov
Ruth Orkin
Sabine Weiss
Sebastiao Salgado
Sergio Larrain
Socialist realism
Stanley Greene
Steve McCurry
Terry O'Neill
Thurston Hopkins
Vivian Maier
W. Eugene Smith
War photography
Werner Bischof
Willy Ronis
Wolfgang Suschitzky
Yann Arthus-Bertrand
